Country	[Aff_id_parent]	Aff_id_child	Inst	Affiliation
Spain	A02290	A02314	ICMM Madrid	Institute of Materials Science, Madrid
Spain	A02290	A02318	ICMAN	CSIC, Instituto de Ciencias Marinas de Andalucia, Cadiz
Spain	A02290	A02319	IIM Vigo	CSIC, Instituto de Investigaciones Marinas de Vigo, Vigo
Spain	A02290	A02321	IPE	Instituto Pirenaico de Ecologia, Zaragoza
Spain	A02290	A02322	IPNA	Instituto de Productos Naturales y Agrobiologia
Spain	A02290	A02323	IIAG	CSIC, Instituto Investigaciones Agrobiologicas de Galicia, Santiago Compostela
Spain	A02290	A02331	ICFO Barc	Institute for Photonic Sciences, Barcelona
Spain	A02290	A02333	CSIC Barc	CSIC, Consejo Superior de Investigaciones Cientificas, Barcelona
Spain	A02290	A02336	Inst Microelectr	Institute of Microelectronics, Barcelona
Spain	A02290	A02339	CSIC Almeria	CSIC, Estacion Experimental de Zonas Aridas, Almeria
Spain	A02290	A02348	ICC Barc	Instituto de Ciencias del Cosmos, Barcelona
Spain	A02290	A02349	ICM Barc	Institute of Marine Sciences, Barcelona
Spain	A02290	A02350	ICTJA	Institute of Earth Sciences Jaume Almera, Barcelona
Spain	A02290	A02353	IFT Madrid	Institute for Theoretical Physics, Madrid
Spain	A02290	A02358	IGEO	Institute of Astronomy and Geophysics, Madrid
Spain	A02290	A02360	CSIC Cordoba	CSIC, Instituto de Estudios Sociales Avanzados de Andalusia, Cordoba
Spain	A02290	A02366	Inst Geop Andalusia	Institute of Geophysics of Andalusia
Spain	A02290	A02369	IMEDEA	CSIC, Instituto Mediterraneo de Estudios Avanzados, Esporles
Spain	A02290	A02383	Inst Phy	Institute of Physics, Cantabria
Spain	A02290	A02388	CSIC Zaragoza	CSIC, Instituto de Estudios Islamicos y de Oriente Proximo, Zaragoza
Spain	A02290	A02390	IEEC Catalona	Institute of Space Studies, Catalona
Spain	A02290	A02401	CSIC Sevilla	CSIC, Instituto de Biomedicina de Sevilla, Sevilla
Spain	A02290	A02405	IFIC	Institut de Fisica Corpuscular, Valencia
Spain	A02290	A04639	CAB Madrid	Center for Astrobiology, Madrid
Spain	A02290	A05975	IQF	CSIC, Institute of Physical Chemistry Rocasolano
Spain	A02290	A05976	IO	CSIC, Institute of Optics
Spain	A02290	A05977	ICMB	CSIC, Instituto Ciencia de Materiales, Barcelona
Spain	A02290	A11309	IAC	Astrophysical Institute of the Canaries
Spain	A02290	A11311	Tenerife	Tenerife Observatory
Spain	A02290	A11316	IFAE Barc	Institute for High Energy Physics, Barcelona
Spain	A02290	A11324	LAEFF	Laboratory for Space Astrophysics and Theoretical Physics
Spain	A02290	A11325	IMFP Madrid	Institute of Mathematics and Fundamental Physics, Madrid
Spain	A02290	A11333	Calar Alto Obs	Calar Alto Observatory
Spain	A02290	A11336	CEFCA	Center for Research in Astrophysics and Cosmology, Aragon
Spain		A02324	UPV ES	Universidad del Pais Vasco, Spain
Spain	A02324	A11331	Dep Phy	Universidad del Pais Vasco, Department of Physics
Spain		A02325	Inst Catalan Stud	Institute of Catalan Studies, Spain
Spain		A02326	Span Inst Ocgy	Spanish Institute of Oceanography
Spain		A02327	Span Inst Geo Min	Spanish Institute of Geology and Minerals
Spain		A02328	U Alacant	University of Alacant, Spain
Spain		A02329	UAB	Autonomous University of Barcelona, Spain
Spain	A02329	A02331	ICFO Barc	Institute for Photonic Sciences, Barcelona
Spain	A02329	A02333	CSIC Barc	CSIC, Consejo Superior de Investigaciones Cientificas, Barcelona
Spain	A02329	A02336	Inst Microelectr	Institute of Microelectronics, Barcelona
Spain	A02329	A02342	ICREA	Institucio Catalona de Recerca i Estudis Avancats
Spain	A02329	A02349	ICM Barc	Institute of Marine Sciences, Barcelona
Spain	A02329	A02350	ICTJA	Institute of Earth Sciences Jaume Almera, Barcelona
Spain	A02329	A02390	IEEC Catalona	Institute of Space Studies, Catalona
Spain	A02329	A11316	IFAE Barc	Institute for High Energy Physics, Barcelona
Spain	A02329	A13032	Dep Phy	Autonomous University of Barcelona, Department of Physics
Spain		A02337	U Alcala	University of Alcala, Spain
Spain		A02338	U Almeria	University of Almeria, Spain
Spain	A02338	A02339	CSIC Almeria	CSIC, Estacion Experimental de Zonas Aridas, Almeria
Spain		A02340	UAM ES	Autonomous University of Madrid, Spain
Spain	A02340	A11322	Dep Phy	Autonomous University of Madrid, Department of Physics
Spain		A02341	U Barcelona	University of Barcelona, Spain
Spain	A02341	A02342	ICREA	Institucio Catalona de Recerca i Estudis Avancats
Spain	A02341	A02343	Dep Chem	University of Barcelona, Department of Chemistry
Spain	A02341	A02344	Catalan Inst Cli Sci	Catalan Institute of Climate Sciences
Spain	A02341	A02345	Dep Phy	University of Barcelona, Department of Physics
Spain	A02341	A02347	Dep Ast Metr	University of Barcelona, Department of Astronomy and Meteorology
Spain	A02341	A02348	ICC Barc	Instituto de Ciencias del Cosmos, Barcelona
Spain	A02341	A02349	ICM Barc	Institute of Marine Sciences, Barcelona
Spain	A02341	A02350	ICTJA	Institute of Earth Sciences Jaume Almera, Barcelona
Spain	A02341	A02390	IEEC Catalona	Institute of Space Studies, Catalona
Spain		A02351	U Burgos	University of Burgos, Spain
Spain		A02352	U Madrid	University of Carlos III, Madrid, Spain
Spain	A02352	A02353	IFT Madrid	Institute for Theoretical Physics, Madrid
Spain		A02354	U Cadiz	University of Cadiz, Spain
Spain		A02355	U Castilla-La Mancha	University of Castilla-La Mancha, Spain
Spain		A02356	UCM ES	Complutense University of Madrid, Spain
Spain	A02356	A02357	Dep Phy	Complutense University of Madrid, Department of Physics
Spain	A02356	A02358	IGEO	Institute of Astronomy and Geophysics, Madrid
Spain	A02356	A11323	Dep Ast	Complutense University of Madrid, Department of Astronomy
Spain		A02359	U Cordoba	University of Cordoba, Spain
Spain	A02359	A02360	CSIC Cordoba	CSIC, Instituto de Estudios Sociales Avanzados de Andalusia, Cordoba
Spain		A02361	U Coruna	University of Coruna, Spain
Spain		A02362	U Girona	University of Girona, Spain
Spain		A02363	U Lleida	University of Lleida, Spain
Spain		A02364	Euro U Madrid	European University of Madrid, Spain
Spain		A02365	U Granada	University of Granada, Spain
Spain	A02365	A02366	IAG	Institute of Geophysics of Andalusia
Spain	A02365	A11317	Dep Phy	University of Granada, Department of Physics
Spain		A02367	U Huelva	University of Huelva, Spain
Spain		A02368	U Balearic Islands	University of the Balearic Islands, Spain
Spain	A02368	A02369	IMEDEA	CSIC, Instituto Mediterraneo de Estudios Avanzados, Esporles
Spain	A02368	A11334	Ast Obs Mallorca	Astronomical Observatory of Mallorca
Spain		A02370	U Jaen	University of Jaen, Spain
Spain	A02370	A11332	Dep Phy	University of Jaen, Department of Physics
Spain		A02371	Jaume I U	Jaume I University, Spain
Spain		A02372	U La Laguna	University of La Laguna, Spain
Spain	A02372	A02373	Dep Phy	University of La Laguna, Department of Physics
Spain	A02372	A11308	Dep Astrop	University of La Laguna, Department of Astrophysics
Spain	A02372	A11309	IAC	Astrophysical Institute of the Canaries
Spain	A02372	A11310	La Palma Obs	La Palma Observatories
Spain	A02372	A11311	Tenerife	Tenerife Observatory
Spain		A02374	U Las Palmas	University of Las Palmas, Spain
Spain		A02375	U Murcia	University of Murcia, Spain
Spain		A02376	U Malaga	University of Malaga, Spain
Spain		A02377	UMH	University of Miguel Hernandez de Elche, Spain
Spain		A02378	UPNA	Public University of Navarra, Pamplona, Spain
Spain		A02379	UNED	National University of Distance Education, Madrid, Spain
Spain		A02380	U Extremadura	University of Extremadura, Spain
Spain		A02381	Intl U Catalona	International University of Catalona, Spain
Spain		A02382	U Cantabria	University of Cantabria, Spain
Spain	A02382	A02383	Inst Phy	Institute of Physics, Cantabria
Spain		A02384	U Leon	University of Leon, Spain
Spain		A02385	U Oviedo	University of Oviedo, Spain
Spain		A02386	U La Rioja	University of La Rioja, Spain
Spain		A02387	U Zaragoza	University of Zaragoza, Spain
Spain	A02387	A02388	CSIC Zaragoza	CSIC, Instituto de Estudios Islamicos y de Oriente Proximo, Zaragoza
Spain		A02389	UPC	Technical University of Catalona, Spain
Spain	A02389	A02390	IEEC Catalona	Institute of Space Studies, Catalona
Spain	A02389	A11328	Dep Phy	Technical University of Catalona, Department of Physics
Spain		A02391	U Pont Madrid	Universidad Pontificia de Comillas, Madrid, Spain
Spain		A02392	TU Cartagena	Technical University of Cartagena, Spain
Spain		A02393	Popeu Fabra U	Pompeu Fabra University, Barcelona, Spain
Spain		A02394	UPM	Polytechnic University of Madrid, Spain
Spain		A02395	Pablo Olavide U	Pablo de Olavide University, Seville, Spain
Spain		A02396	UPS	Universidad Pontificia de Salamanca, Spain
Spain		A02397	UVP	Universitat Politecnica de Valencia, Spain
Spain		A02398	URJC	King Juan Carlos University, Madrid, Spain
Spain		A02399	URV	University of Rovira and Virgili, Spain
Spain		A02400	U Sevilla	University of Sevilla, Spain
Spain	A02400	A02401	CSIC Sevilla	CSIC, Instituto de Biomedicina de Sevilla, Sevilla
Spain		A02402	U Salamanca	University of Salamanca, Spain
Spain		A02403	U Sant Comp	University of Santiago de Compostela, Spain
Spain		A02404	U Valencia	University of Valencia, Spain
Spain	A02404	A02405	IFIC	Institut de Fisica Corpuscular, Valencia
Spain	A02404	A11318	Dep Ast Astrop	University of Valencia, Department of Astronomy and Astrophysics
Spain	A02404	A11319	Dep Phy	University of Valencia, Department of Physics
Spain		A02406	U Valladolid	University of Valladolid, Spain
Spain		A02407	U Vigo	University of Vigo, Spain
Spain		A02408	CIDA	Centro de Informacion y Documentacion Africanas, Madrid, Spain
USA		A02409	Mt San Antonio Coll	Mount San Antonio College, California
USA		A02410	CCSF	City College of San Francisco, California
Switzerland		A02411	WMO	World Meteorological Organization, Switzerland
France		A02412	Alcatel	Alcatel Lucent Corporation
Germany	A02412	A02413	Germany	Alcatel Lucent Deutschland AG
Italy	A02412	A02414	TA Italy	Thales Alenia Space, Italy
France	A02412	A02415	TA France	Thales Alenia Space, France
USA	A02412	A02416	Bell Labs	Lucent Technologies, AT&T Bell Labs
USA		A02417	DARPA	Defense Advanced Research Projects Agency
USA		A02418	Idaho Natl Lab	Idaho National Laboratory
USA		A02419	TJNAF	Thomas Jefferson National Accelerator Facility, Virginia
Italy		A02420	MIUR	Ministry of Education University and Research, Italy
Italy		A02421	ISPRA	Institute for Environmental Protection and Research, Rome
Italy		A02422	ENEA	Italian National Agency for New Technologies, Energy and Sustainable Development
Italy	A02422	A02423	Milan	ENEA Milan Research Center
Italy	A02422	A02424	Bologna	ENEA Bologna Research Center
Italy	A02422	A02425	Frascati	ENEA Frascati Research Center
Italy	A02422	A02426	Casaccia	ENEA Casaccia Research Center
Italy	A02422	A02427	Spezia	ENEA Spezia Research Center
Italy	A02422	A02428	Brasimone	ENEA Brasimone Research Center
Italy	A02422	A02429	Brindisi	ENEA Brindisi Research Center
Italy	A02422	A02430	Portici	ENEA Portici Research Center
Italy		A02431	INFN	Italian National Institute of Nuclear Physics, Rome
Italy	A02431	A02432	Ferrara	Italian National Institute of Nuclear Physics, Ferrara
Italy	A02431	A02433	Trieste	Italian National Institute of Nuclear Physics, Trieste
Italy	A02431	A02434	Catania	Italian National Institute of Nuclear Physics, Catania
Italy	A02431	A02435	DSFTA	University of Siena, Department of Physics and Earth Sciences
Italy	A02431	A02436	Dep Phy I	Sapienza University, Department of Physics
Italy	A02431	A02437	Legnaro	Italian National Institute of Nuclear Physics, Legnaro
Italy	A02431	A02438	ICTP Abdus Salam	Abdus Salam International Center for Theoretical Physics
Italy	A02431	A02439	Lecce	Italian National Institute of Nuclear Physics, Lecce
Italy	A02431	A02440	Trento	Italian National Institute of Nuclear Physics, Trento
Italy	A02431	A02443	Pisa	Italian National Institute of Nuclear Physics, Pisa
Italy	A02431	A02444	Frascati	Italian National Institute of Nuclear Physics, Frascati
Italy	A02431	A02445	LNS Catania	Italian National Laboratory South, Catania
Italy	A02431	A02446	Gran Sasso	INFN, Gran Sasso National Laboratory, L'Aquila
Italy	A02431	A02488	Dep Math Phy III	Roma Tre University, Department of Mathematics and Physics
Italy	A02431	A02490	Dep Phy Salerno	University of Salerno, Department of Physics
Italy	A02431	A11377	Dep Phy II	Tor Vergata University, Department of Physics
Italy	A02431	A11387	Florence	Italian National Institute of Nuclear Physics, Florence
Italy	A02431	A11388	Turin	Italian National Institute of Nuclear Physics, Turin
Italy	A02431	A11389	Genoa	Italian National Institute of Nuclear Physics, Genoa
Italy	A02431	A11393	Perugia	Italian National Institute of Nuclear Physics, Perugia
Italy	A02431	A11396	Cosenza	Italian National Institute of Nuclear Physics, Cosenza
Italy	A02431	A11399	Milan Bicocca	Italian National Institute of Nuclear Physics, Milan Bicocca
Italy	A02431	A11401	Pavia	Italian National Institute of Nuclear Physics, Pavia
Italy	A02431	A11403	Bologna	Italian National Institute of Nuclear Physics, Bologna
Italy	A02431	A11404	Milan	Italian National Institute of Nuclear Physics, Milan
Italy	A02431	A11405	Cagliari	Italian National Institute of Nuclear Physics, Cagliari
Italy	A02431	A11407	Bari	Italian National Institute of Nuclear Physics, Bari
Italy	A02431	A11408	Padua	Italian National Institute of Nuclear Physics, Padua
Italy	A02431	A11409	Naples	Italian National Institute of Nuclear Physics, Naples
Italy		A02447	INGV	National Institute of Geophysics and Volcanology, Italy
Italy	A02447	A02448	Catania	National Institute of Geophysics and Volcanology, Catania
Italy	A02447	A02449	Palermo	National Institute of Geophysics and Volcanology, Palermo
Italy	A02447	A02450	Bologna	National Institute of Geophysics and Volcanology, Bologna
Italy	A02447	A02451	Milan	National Institute of Geophysics and Volcanology, Milan
Italy	A02447	A02452	Naples	National Institute of Geophysics and Volcanology, Naples
Italy	A02447	A11391	Pisa	National Institute of Geophysics and Volcanology, Pisa
Italy		A02453	Fond U Bordoni	Fondazione Ugo Bordoni, Rome
Italy		A02454	OGS	National Institute for Oceanography and Experimental Geophysics, Italy
Italy		A02455	Fond B Kessler	Fondazione Bruno Kessler, Trento, Italy
Italy	A02455	A11416	ECT	European Center for Theoretical Studies in Nuclear Physics
Italy		A02456	Regina Elena	Regina Elena Institute, Rome
Italy		A02457	Ital Air Force	Italian Air Force
Switzerland		A02458	ABB	Asea Brown Boveri, Ltd, Switzerland
Italy		A02459	Fiat	Fiat Group Automobiles SpA
Italy		A02460	TU Bari	Technical University of Bari, Italy
Italy	A02460	A02461	Dep Phy	Inter-University Department of Physics
Italy		A02462	U Sannio	University of Sannio, Italy
Italy		A02463	U Bergamo	University of Bergamo, Italy
Italy		A02464	U Bolzano	University of Bolzano, Italy
Italy		A02465	EURAC	European Academy, Bolzano, Italy
Italy		A02466	U Camerino	University of Camerino, Italy
Italy		A02467	U Molise	University of Molise, Italy
Italy		A02468	U Cassino	University of Cassino, Italy
Italy		A02469	U Salento	University of Salento, Lecce, Italy
Italy	A02469	A02470	Dep Phy	University of Salento, Department of Physics
Italy		A02471	U Messina	University of Messina, Italy
Italy		A02472	TU Milan	Technical University of Milan, Italy
Italy	A02472	A02473	Dep Phy	Technical University of Milan, Department of Physics
Italy		A02474	Parthenope U Naples	Parthenope University of Naples, Italy
Italy		A02475	Second U Naples	Second University of Naples, Italy
Italy		A02476	U Palermo	University of Palermo, Italy
Italy	A02476	A02477	Dep Phy	University of Palermo, Department of Physics
Italy	A02476	A03977	Ast Obs Palermo	Astronomical Observatory of Palermo
Italy	A02476	A13075	IASF Palermo	Institute for Cosmic Physics, Palermo
Italy		A02479	U Pavia	University of Pavia, Italy
Italy	A02479	A02480	IGG Pavia	Institute of Geosciences and Georesources, Pavia
Italy	A02479	A02481	Dep Ear Sci	University of Pavia, Department of Earth Sciences
Italy	A02479	A02482	IUSS Scuola Sup	IUSS, Scuola Superiore, Pavia
Italy	A02479	A11400	Dep Phy	University of Pavia, Department of Physics
Italy		A02483	SNS Pisa	Scuola Normale Superiore, Pisa, Italy
Italy		A02484	U Basilicata	University of Basilicata, Potenza, Italy
Italy	A02484	A02485	IMAA Potenza	Institute for Advanced Methods of Environmental Studies, Potenza
Italy		A02486	U Calabria	University of Calabria, Italy
Italy	A02486	A11395	Dep Phy	University of Calabria, Department of Physics
Italy		A02487	Roma Tre U	Roma Tre University, Italy
Italy	A02487	A02488	Dep Math Phy III	Roma Tre University, Department of Mathematics and Physics
Italy		A02489	U Salerno	University of Salerno, Italy
Italy	A02489	A02490	Dep Phy Salerno	University of Salerno, Department of Physics
Italy		A02491	U Teramo	University of Teramo, Italy
Italy	A02491	A03969	Ast Obs Teramo	Astronomical Observatory of Teramo
Italy		A02493	TU Turin	Technical University of Turin, Italy
Italy		A02494	U Trento	University of Trento, Italy
Italy	A02494	A11394	Dep Phy	University of Trento, Department of Physics
Italy		A02495	SISSA	SISSA, International School for Advanced Studies, Italy
Italy	A02495	A11385	Ast Sect	SISSA, Astrophysical Sector
Italy		A02496	U Urbino	University of Urbino, Italy
Italy		A02497	U Insubria	University of Insubria, Italy
Italy	A02497	A02498	Dep Phy	University of Insubria, Department of Physics
Italy		A02499	U Iuav Venezia	University Iuav of Venezia, Italy
Italy		A02500	U Ca Foscari	University Ca Foscari, Venice, Italy
Italy		A02501	U Estrn Piemonte	University of Eastern Piemonte, Italy
Italy		A02502	U Verona	University of Verona, Italy
Italy		A02503	U Tuscia	University of Tuscia, Italy
USA		A02504	Bellcore	Bellcore Inc.
Taiwan		A02505	Ch Cult U	Chinese Culture University, Taiwan
UK		A02506	U Hong Kong	University of Hong Kong
UK	A02506	A11574	Dep Phy	University of Hong Kong, Department of Physics
Japan		A02507	U Ryukyus	University of the Ryukyus, Japan
Japan		A02508	Gunma Natl Coll Tech	Gunma National College of Technology, Japan
Japan		A02509	JAEA	Japan Atomic Energy Agency
Japan	A02509	A02510	JASRI	Japan Synchrotron Radiation Research Institute
Japan	A02509	A02511	Tokai	JAEA, Tokai Center
Japan	A02509	A02512	Kyoto	JAEA, Kansai Photon Science Institute
Japan	A02509	A02513	Tono	JAEA, Tono Geoscience Center
Japan	A02509	A02514	Oarai	JAEA, Oarai Kaihatsu Center
Japan	A02509	A02515	Takasaki	JAEA, Takasaki Advanced Radiation Research Institute
Japan	A02509	A02516	Tsuruga	JAEA, Tsuruga Head Office
Japan	A02509	A13073	JRCAT	Joint Research Center for Atom Technology, Japan
Japan		A02517	Kyoto Sangyo U	Kyoto Sangyo University, Japan
Japan		A02518	NTT	Nippon Telegraph and Telephone Corporation
Japan		A02519	TUMSAT	Tokyo University of Marine Science and Technology, Japan
Japan		A02520	Fukui U	Fukui University, Japan
China		A02521	Chin U Hong Kong	Chinese University of Hong Kong
China		A02522	BISTU	Beijing Information Science and Technology University
China		A02523	BIPM China	National Institute of Metrology, China
China		A02524	SW U China	Southwest University, China
China		A02525	Shunde Tech	Shunde Polytechnic, Guangdong, China
China		A02526	S China U Tech	South China University of Technology
China		A02527	Zhongshan U	Zhongshan University, China
China		A02528	Yanshan U	Yanshan University, China
China		A02529	Three Gorges U	Three Gorges University, China
China		A02530	NW Poly U	Northwestern Polytechnical University, China
China		A02531	China Med U	China Medical University, Shenyang
China		A02532	Hangzhou Norm U	Hangzhou Normal University, China
China		A02533	Wenzhou U	Wenzhou University, China
Germany		A02534	U Augsburg	University of Augsburg, Germany
Germany		A02535	U Bayreuth	University of Bayreuth, Germany
Germany	A02535	A02536	Inst Phy	University of Bayreuth, Institute of Physics
Germany	A02535	A02537	Inst Geop	University of Bayreuth, Institute of Geophysics
Germany		A02538	TU Berlin	Technical University of Berlin, Germany
Germany	A02538	A02539	Inst Theo Phy	Technical University of Berlin, Institute for Theoretical Physics
Germany	A02538	A11488	Ctr Ast Astrop	Technical University of Berlin, Center for Astronomy and Astrophysics
Germany		A02540	TU Braunschweig	Technical University of Braunschweig, Germany
Germany	A02540	A02541	Inst Geop Sp Phy	Technical University of Braunschweig, Institute for Geophysics and Space Physics
Germany	A02540	A11492	Inst Theo Phy	Technical University of Braunschweig, Institute for Theoretical Physics
Germany		A02542	TU Clausthal	Technical University of Clausthal, Germany
Germany		A02543	TU Darmstadt	Technical University of Darmstadt, Germany
Germany	A02543	A02544	Dep Phy	Technical University of Darmstadt, Department of Physics
Germany		A02545	TU Bergakademie Freiburg	Technical University Bergakademie of Freiburg, Germany
Germany		A02546	U Greifswald	University of Greifswald, Germany
Germany		A02547	U Hagen	University of Hagen, Germany
Germany		A02548	Bundeswehr U Hamburg	Bundeswehr University Hamburg, Germany
Germany		A02549	Leibniz U	Leibniz University, Hannover, Germany
Germany	A02549	A02551	Inst Theo Phy	Leibniz University, Hannover, Institute for Theoretical Physics
Germany	A02549	A03039	AEI	Albert Einstein Institute, Hannover
Germany		A02552	U Hildesheim	University of Hildesheim, Germany
Germany		A02553	U Hohenheim	University of Hohenheim, Germany
Germany		A02554	TU Ilmenau	Technical University of Ilmenau, Germany
Germany		A02555	TU Kaiserslautern	Technical University of Kaiserslautern, Germany
Germany		A02556	U Konstanz	University of Konstanz, Germany
Germany		A02557	U Mannheim	University of Mannheim, Germany
Germany		A02558	Bundeswehr U Munich	Bundeswehr University Munich, Germany
Germany		A02559	U Paderborn	University of Paderborn, Germany
Germany		A02560	U Potsdam	University of Potsdam, Germany
Germany	A02560	A02561	Inst Phy Ast	University of Potsdam, Institute of Physics and Astronomy
Germany	A02560	A11485	Inst Geos	University of Potsdam, Institute for Geosciences
Belgium		A02562	U Trier	University of Trier, Belgium
Germany		A02563	U Wuppertal	Bergische University Wuppertal, Germany
Germany	A02563	A11506	Dep Phy	Bergische University Wuppertal, Department of Physics
Belgium		A02564	U Ghent	University of Ghent, Belgium
Belgium	A02564	A02565	Dep Phy Ast	University of Ghent, Department of Physics and Astronomy
Belgium		A02566	KU Leuven	Katholieke University of Leuven, Belgium
Belgium	A02566	A13081	Inst Th Phy	Katholieke University of Leuven, Institute of Theoretical Physics
Belgium	A02566	A13082	Ast Inst	Katholieke University of Leuven, Astronomical Institute
Belgium		A02567	U Liege	University of Liege, Belgium
Belgium	A02567	A11244	AGO	University of Liege, Department of Astrophysics, Geophysics and Oceanography
Belgium	A02567	A11246	LPAP	University of Liege, Laboratory of Planetary and Atmospheric Physics
Belgium		A02568	U Antwerpen	University of Antwerpen, Belgium
Belgium	A02568	A02569	Dep Phy Ast	University of Antwerpen, Department of Physics and Astronomy
China		A02570	Hong Kong Bapt U	Hong Kong Baptist University, China
China		A02571	Hong Kong Poly U	Hong Kong Polytechnic University, China
Thailand		A02572	Chiang Mai U	Chiang Mai University, Thailand
Thailand		A02573	Chulalongkorn U	Chulalongkorn University, Thailand
Thailand		A02574	Khon Kaen U	Khon Kaen University, Thailand
Thailand		A02575	Mahidol U	Mahidol University, Thailand
Thailand		A02576	Pr Songkla U	Prince of Songkla University, Thailand
Malaysia		A02577	U Sains	University Sains, Malaysia
South Africa		A02578	Stellenbosch U	Stellenbosch University, South Africa
Portugal		A02579	U Porto	University of Porto, Portugal
Portugal	A02579	A02580	Ctr Astrop	University of Porto, Center for Astrophysics
Portugal	A02579	A11301	Inst Phy	University of Porto, Institute for Physics
Korea		A02581	Chonbuk Natl U	Chonbuk National University, Korea
Korea		A02582	Chungnam Natl U	Chungnam National University, Korea
Korea	A02582	A11558	Dep Ast Sp Sci	Chungnam National University, Department of Astronomy and Space Science
Korea		A02583	Hanyang U	Hanyang University, Korea
Korea	A02583	A02584	Ansan	Hanyang University, Ansan, Korea
Korea		A02585	Ewha Wmns U	Ewha Womans University, Korea
Korea	A02585	A11557	Inst Early Uni	Ewha Womans University, Institute for the Early Universe
Korea		A02586	Inha U	Inha University, Korea
Korea		A02587	Inje U	Inje University, Korea
Korea		A02588	Gyeongsang Natl U	Gyeongsang National University, Korea
Korea		A02589	Yonsei U Seoul	Yonsei University, Seoul, Korea
Korea	A02589	A02590	Dep Ast	Yonsei University, Department of Astronomy
Korea		A02591	Kyung Hee U	Kyung Hee University, Korea
Korea	A02591	A11555	Dep Ast Sp Sci	Kyung Hee University, Department of Astronomy and Space Science
Korea	A02591	A11556	Sch Sp Res	Kyung Hee University, School of Space Research
Korea		A02592	Seoul Natl U	Seoul National University, Korea
Korea	A02592	A02593	Dep Phy Ast	Seoul National University, Department of Physics and Astronomy
Korea	A02592	A11551	Sch Ear Env Sci	Seoul National University, School of Earth and Environmental Sciences
Korea		A02594	Chung Ang U	Chung Ang University, Korea
Israel		A02595	Ilan U	Ilan University, Israel
Israel		A02596	Ben Gurion U Negev	Ben Gurion University of the Negev, Israel
Israel	A02596	A02597	BIDR	Blaustein Institute for Desert Research
Israel	A02596	A11510	Dep Phy	Ben Gurion University of the Negev, Department of Physics
Israel		A02598	Hebrew U	Hebrew University, Jerusalem, Israel
Israel	A02598	A02599	Inst Ear Sci	Hebrew University, Institute of Earth Sciences
Israel	A02598	A11509	Racah Inst Phy	Hebrew University, Racah Institute of Physics
Israel		A02600	Tel Aviv U	Tel Aviv University, Israel
Israel	A02600	A02601	Sackler Fac Sci	Tel Aviv University, Sackler Faculty of Sciences
Israel	A02600	A11513	Sackler Sch Phy Ast	Tel Aviv University, Sackler School of Physics and Astronomy
Israel	A02600	A11514	Dep Geop Plan Sci	Tel Aviv University, Department of Geophysics and Planetary Sciences
Israel		A02602	Technion	Technion Israel Institute of Technology
Israel	A02602	A02603	Dep Phy	Technion Israel Institute of Technology, Department of Physics
Israel		A02604	Haifa U	Univ Haifa, Israel
France		A02605	U Descartes	Universite Rene Descartes, Paris V, France
France		A02606	ENS Cachan	Ecole Normale Superieure, Cachan, France
France	A02606	A02747	PPSM	Laboratory of Supramolecular and Macromolecular Photophysics and Photochemistry
France		A02608	ENS Paris	Ecole Normale Superieure, Paris, France
France	A02608	A02748	Geo Lab	Laboratoire de Geologie de l'ENS
France	A02608	A02925	LPTENS	Laboratoire de Physique Theorique de l'ENS
France	A02608	A02926	LPSENS	Laboratoire de Physique Statistique de l'ENS
France	A02608	A03913	LKB	Laboratoire Kastler Brossel, Paris
France	A02608	A04164	LMD	Laboratoire de Meteorologie Dynamique, Paris
France	A02608	A04168	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
France		A02615	ENS Lyon	Ecole Normale Superieure de Lyon, France
France	A02615	A02618	Lab Phy	Ecole Normale Superieure de Lyon, Laboratoire de Physique
France	A02615	A05231	CRAL Obs Lyon	Observatoire de Lyon, Centre Recherche Astrophysique de Lyon
France	A02615	A05232	LGLTPE	Laboratoire de Geologie de Lyon, Terre, Planetes et Environnement
France		A02619	Obs Paris	Observatoire de Paris, France
France	A02619	A02620	DEMIRM	Observatoire de Paris, Departement d'Etudes de la Matiere en Infrarouge et Millimetre
France	A02619	A02621	SYRTE	Observatoire de Paris, Systemes de Reference Relativistes
France	A02619	A02622	IMCCE	Observatoire de Paris, Institut de Mecanique Celeste et de Calcul des Ephemerides
France	A02619	A02623	LUTH	Observatoire de Paris, Laboratoire de l'Universe et ses Theories
France	A02619	A02625	GEPI	Observatoire de Paris, Laboratoire Galaxies Etoiles Physiques et Instrumentation
France	A02619	A02627	Dep RadAst	Observatoire de Paris, Departement de Radioastronomie
France	A02619	A04167	LESIA	Observatoire de Paris, Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique
France	A02619	A04168	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
France	A02619	A04169	LATMOS	Laboratoire Atmospheres Milieux Observations Spatiales
France	A02619	A11274	DARC	Observatoire de Paris, Departement d'Astrophysique Relativiste et de Cosmologie
France	A02619	A11275	DASOP	Observatoire de Paris, Departement d'Astronomie Solaire
France	A02619	A11276	DASGAL	Observatoire de Paris, Departement d'Astronomie Stellaire et Galactique
France	A02619	A11277	CAI	Observatoire de Paris, Centre d'Analyse des Images
France	A02619	A11279	DESPA	Observatoire de Paris, Departement de Recherche Spatiale
France		A02629	UPJV	Universite de Picardie Jules Verne, France
